item_id	i_genre_c	i_title_c
271	238	2386
272	238	2437
273	251	2318
274	251	2429
275	39	2434
276	185	2557
277	176	2463
278	238	2990
279	238	2989
280	238	2991
281	238	2473
282	176	2870
283	144	2900
284	238	2630
285	1	2784
286	33	2830
287	162	2600
288	238	2670
289	295	2663
290	270	2898
291	238	2862
292	185	2905
293	176	2881
294	176	2089
295	238	3027
296	50	2927
297	271	2917
298	33	2821
299	195	2920
300	238	3030
301	275	3152
302	176	3036
303	238	3137
304	286	3115
305	261	3171
306	238	3207
307	292	3155
308	206	3221
309	126	3178
310	238	855
311	206	2040
312	159	230
313	176	41
314	185	57
315	245	239
316	238	370
317	176	502
318	37	626
319	250	629
320	187	681
321	176	708
322	84	713
323	238	638
324	160	1064
325	209	1096
326	206	1099
327	238	1390
328	187	1468
329	43	1469
330	251	1545
331	118	1601
332	234	3273
333	152	1742
334	238	1745
335	271	3197
336	180	1883
337	55	1892
338	238	2017
339	176	2084
340	185	2257
341	185	2466
342	295	2474
343	160	2513
344	238	2592
345	92	2520
346	84	2789
347	206	2788
348	86	3013
349	13	3077
350	238	3215
351	243	3266
352	297	3283
353	1	242
354	238	1852
355	238	2584
356	43	1811
357	238	447
358	254	644
359	47	1006
360	216	1565
361	106	2626
362	1	2863
363	1	643
364	271	1018
365	86	1392
366	238	1021
367	277	1505
368	238	30
369	238	37
370	176	48
371	176	3294
372	238	68
373	176	77
374	176	76
375	212	170
376	297	243
377	206	266
378	238	308
379	176	334
380	43	335
381	106	372
382	295	393
383	92	405
384	238	408
385	251	412
386	276	424
387	283	444
388	238	489
389	176	516
390	238	519
391	216	532
392	214	612
393	176	624
394	16	630
395	210	662
396	259	647
397	176	679
398	43	688
399	206	758
400	176	766
401	86	799
402	234	929
403	206	946
404	176	1009
405	251	1000
406	206	1014
407	238	1019
408	176	1017
409	185	3261
410	248	1059
411	238	3237
412	176	1083
413	259	1043
414	112	1109
415	238	1120
416	92	1140
417	262	1171
418	1	1178
419	176	1179
420	251	1210
421	2	1237
422	224	1291
423	18	1329
424	73	1354
425	54	1425
426	176	1758
427	206	934
428	251	1437
429	176	1433
430	206	1452
431	185	1478
432	213	1500
433	92	1504
434	238	1506
435	185	1521
436	238	3208
437	176	1581
438	1	1594
439	33	1606
440	259	1611
441	295	1638
442	238	1654
443	106	1688
444	43	1689
445	176	1731
446	214	1736
447	238	1817
448	176	1827
449	295	1838
450	238	1847
451	202	1861
452	57	1919
453	92	957
454	238	1507
455	187	3204
456	206	2019
457	251	2005
458	206	2011
459	176	2015
460	238	2082
461	41	2114
462	238	2107
463	86	2148
464	176	2156
465	238	2223
466	64	2294
467	238	2312
468	251	2315
469	238	2342
470	64	2404
471	275	2527
472	203	2439
473	176	2479
474	238	2484
475	190	2486
476	66	2517
477	176	2524
478	292	2533
479	176	2529
480	233	2549
481	64	2552
482	238	2568
483	238	2569
484	238	2593
485	261	2612
486	238	2616
487	238	2625
488	167	2628
489	181	2635
490	1	2650
491	251	2651
492	238	2683
493	238	2693
494	185	2701
495	238	2705
496	206	2716
497	295	2723
498	268	385
499	176	2760
500	208	2740
501	1	2866
502	8	2885
503	37	2896
504	1	2943
505	234	2977
506	206	2998
507	163	2131
508	9	2994
509	297	3034
510	295	3065
511	61	3078
512	234	3175
513	4	2245
514	238	290
515	295	1632
516	185	3196
517	238	1170
518	176	574
519	271	707
520	206	2086
521	238	1631
522	185	342
523	160	1743
524	185	2721
525	238	3191
526	238	600
527	185	2781
528	160	1752
529	106	155
530	238	2393
531	234	558
532	185	778
533	176	453
534	160	1405
535	208	1180
536	146	84
537	87	2944
538	130	745
539	17	278
540	259	2688
541	152	2738
542	152	298
543	144	2324
544	206	2382
545	176	3250
546	297	3241
547	295	1805
548	234	1266
549	176	513
550	251	2204
551	271	526
552	224	1002
553	106	1411
554	5	1359
555	76	1368
556	176	2250
557	251	1564
558	259	1762
559	238	461
560	144	188
561	238	1068
562	176	906
563	238	2059
564	176	2966
565	259	1700
566	259	2387
567	152	102
568	296	1686
569	176	800
570	185	988
571	176	2647
572	287	1553
573	176	1194
574	259	819
575	238	2098
576	261	686
577	27	1967
578	185	642
579	238	1977
580	282	20
581	23	870
582	176	909
583	233	2422
584	152	1563
585	295	1015
586	176	1630
587	176	981
588	296	3114
589	1	403
590	238	2273
591	238	175
592	238	3279
593	210	2076
594	98	2778
595	138	265
596	259	2750
597	291	113
598	215	625
599	238	1548
600	15	2216
601	206	2018
602	87	2749
603	1	2874
604	286	3074
605	251	1022
606	176	163
607	238	977
608	2	2433
609	176	683
610	228	2021
611	206	3081
612	144	2186
613	176	559
614	106	1065
615	297	769
616	238	1423
617	215	2910
618	210	3157
619	176	2022
620	143	3173
621	234	1338
622	243	691
623	176	1275
624	238	1690
625	176	641
626	286	1356
627	215	2221
628	37	2534
629	195	561
630	31	3095
631	86	264
632	158	1184
633	277	2973
634	176	2801
635	155	635
636	264	1091
637	176	2871
638	87	194
639	294	866
640	176	531
641	185	1986
642	106	1225
643	167	1641
644	234	1896
645	296	2807
646	96	2309
647	177	2868
648	251	1358
649	185	1551
650	238	1474
651	238	1260
652	234	1873
653	185	3149
654	271	2795
655	238	3058
656	251	3
657	90	1512
658	238	2838
659	295	989
660	152	1455
661	176	517
662	176	1655
663	92	936
664	194	2172
665	37	762
666	195	1134
667	247	1770
668	160	1333
669	251	2311
670	287	3172
671	206	2674
672	238	3012
673	238	119
674	206	2487
675	106	87
676	2	1058
677	162	1618
678	176	337
679	176	1687
680	176	3145
681	238	1617
682	106	56
683	200	1585
684	176	1047
685	238	2852
686	259	2454
687	176	1389
688	238	1101
689	37	564
690	160	1888
691	187	921
692	92	714
693	176	1429
694	271	969
695	271	2918
696	238	2857
697	238	1066
698	238	2796
699	34	939
700	216	733
701	238	274
702	206	3014
703	238	250
704	57	1214
705	176	1897
706	92	2886
707	238	1862
708	176	556
709	185	3238
710	222	441
711	177	537
712	215	1613
713	176	1233
714	216	1636
715	238	2164
716	1	2355
717	238	1198
718	271	2482
719	292	1539
720	160	1045
721	259	3068
722	168	426
723	1	501
724	144	1684
725	277	1309
726	187	3086
727	238	1999
728	238	3243
729	141	1085
730	206	2313
731	279	2697
732	279	135
733	200	1148
734	251	465
735	286	3143
736	286	2467
737	176	1546
738	286	1160
739	201	1163
740	259	2158
741	185	176
742	177	2752
743	204	570
744	254	540
745	265	1840
746	279	2056
747	206	2588
748	206	2546
749	167	1751
750	278	1910
751	113	3265
752	254	1235
753	176	2060
754	264	2883
755	238	607
756	249	16
757	136	1229
758	238	99
759	176	3271
760	288	2468
761	295	1093
762	267	2165
763	283	2791
764	287	62
765	208	3023
766	176	1010
767	200	258
768	206	2145
769	206	1806
770	278	1191
771	185	2483
772	2	58
773	96	1871
774	226	1705
775	251	1182
776	238	1787
777	201	3039
778	190	3022
779	176	2068
780	238	1189
781	238	901
782	282	2967
783	176	1395
784	120	193
785	238	1549
786	238	2010
787	176	481
788	251	2287
789	238	2608
790	202	1679
791	238	2179
792	216	159
793	238	1746
794	216	2961
795	278	1526
796	297	158
797	295	21
798	238	3168
799	297	2238
800	275	2127
801	32	64
802	185	292
803	238	548
804	238	1703
805	238	1909
806	251	89
807	289	1001
808	238	407
809	238	2316
810	185	2361
811	106	1071
812	251	394
813	185	1252
814	37	1895
815	261	1933
816	295	2510
817	238	1519
818	238	357
819	74	1695
820	259	552
821	56	2638
822	215	12
823	215	726
824	176	908
825	259	964
826	92	1204
827	160	737
828	238	566
829	166	182
830	297	759
831	115	942
832	160	1794
833	107	1376
834	167	2185
835	167	2263
836	161	2357
837	106	1412
838	160	2658
839	106	2908
840	164	2952
841	116	14
842	176	677
843	160	162
844	152	603
845	144	3255
846	152	2988
847	144	2911
848	167	2739
849	238	2530
850	163	1879
851	152	891
852	101	2301
853	117	301
854	152	91
855	144	1100
856	215	1114
857	278	2771
858	92	823
859	87	1708
860	238	3118
861	238	2631
862	176	2955
863	251	3025
864	238	2895
865	251	297
866	92	1773
867	2	1183
868	235	1776
869	238	3062
870	216	2155
871	238	1177
872	295	2648
873	238	1592
874	201	951
875	238	371
876	251	3247
877	185	2907
878	216	2714
879	238	1587
880	145	85
881	201	2661
882	201	741
883	225	710
884	270	2039
885	108	3249
886	295	1522
887	210	2713
888	213	257
889	176	1048
890	176	1988
891	200	3148
892	238	523
893	200	1273
894	216	431
895	126	2184
896	286	820
897	278	1825
898	279	831
899	233	2497
900	261	2332
901	176	3193
902	286	272
903	245	853
904	254	722
905	238	1203
906	238	2766
907	169	896
908	238	594
909	82	764
910	82	3038
911	238	2469
912	238	2864
913	271	586
914	234	1935
915	64	2253
916	176	205
917	238	1145
918	238	2698
919	238	916
920	238	885
921	238	2288
922	238	1207
923	234	2291
924	238	2192
925	176	2504
926	192	879
927	34	40
928	271	1077
929	34	940
930	271	1450
931	238	1570
932	238	1863
933	176	2396
934	176	1987
935	234	739
936	234	1741
937	234	3214
938	154	3281
939	238	2502
940	155	1013
941	228	1343
942	264	2458
943	264	2912
944	238	3015
945	176	2572
946	238	1954
947	176	779
948	271	245
949	234	120
950	176	419
951	187	604
952	238	673
953	210	797
954	238	858
955	238	924
956	261	2274
957	217	1282
958	176	1346
959	1	2680
960	254	933
961	213	1907
962	238	2063
963	238	2646
964	238	2269
965	206	2865
966	234	2965
967	238	3003
968	234	1830
969	234	2266
970	238	2205
971	176	3127
972	21	2827
973	13	2392
974	2	2442
975	291	460
976	88	96
977	95	1241
978	176	3262
979	238	9
980	141	1709
981	40	3059
982	291	633
983	238	3026
984	261	178
985	297	2199
986	30	2828
987	187	3253
988	286	2974
989	216	1242
990	77	92
991	12	192
992	136	346
993	261	2452
994	92	1635
995	277	2409
996	49	417
997	57	1215
998	73	1141
999	154	1255
1000	261	1371
1001	238	115
1002	206	2435
1003	224	2198
1004	238	2441
1005	206	168
1006	238	2516
1007	284	2808
1008	73	418
1009	177	2850
1010	176	1332
1011	185	3080
1012	238	2644
1013	176	1764
1014	87	2945
1015	195	455
1016	73	1206
1017	185	2561
1018	187	1860
1019	238	1952
1020	238	773
1021	251	1253
1022	228	3047
1023	295	2139
1024	261	475
1025	238	27
1026	266	590
1027	257	761
1028	96	3061
1029	195	247
1030	213	886
1031	176	332
1032	271	2679
1033	121	2810
1034	228	1815
1035	11	953
1036	141	1268
1037	261	795
1038	67	837
1039	206	1285
1040	297	3117
1041	270	1859
1042	238	2415
1043	205	195
1044	210	236
1045	238	1130
1046	261	2277
1047	185	862
1048	105	83
1049	2	1391
1050	185	676
1051	68	734
1052	195	3297
1053	185	2128
1054	238	2446
1055	176	1267
1056	152	992
1057	297	1387
1058	265	359
1059	176	1353
1060	251	2758
1061	19	317
1062	186	2979
1063	237	1665
1064	251	2751
1065	2	1515
1066	176	310
1067	238	1156
1068	213	1816
1069	238	3109
1070	251	2556
1071	176	2465
1072	246	2323
1073	261	1637
1074	238	2066
1075	291	1089
1076	238	1028
1077	96	1846
1078	55	509
1079	238	2267
1080	257	3122
1081	206	3212
1082	234	1463
1083	238	1024
1084	215	1820
1085	176	1479
1086	77	97
1087	271	133
1088	271	137
1089	271	141
1090	271	140
1091	271	139
1092	271	138
1093	271	398
1094	195	184
1095	271	211
1096	277	311
1097	271	368
1098	275	395
1099	271	421
1100	271	423
1101	274	456
1102	271	471
1103	271	506
1104	271	525
1105	295	528
1106	270	527
1107	271	538
1108	271	546
1109	271	2136
1110	271	2159
1111	271	2160
1112	271	2190
1113	238	396
1114	233	88
1115	206	1959
1116	238	468
1117	277	2138
1118	33	2820
1119	251	2678
1120	259	2720
1121	107	1582
1122	234	2260
1123	238	1159
1124	238	2377
1125	238	2515
1126	238	715
1127	160	8
1128	92	824
1129	33	2823
1130	33	2819
1131	33	2818
1132	33	2824
1133	33	2816
1134	33	2817
1135	10	280
1136	55	3298
1137	55	3299
1138	201	1263
1139	201	1264
1140	64	1872
1141	238	2873
1142	1	3110
1143	75	1567
1144	75	1568
1145	75	1569
1146	176	2061
1147	53	1876
1148	185	608
1149	251	1577
1150	176	2449
1151	185	3016
1152	223	2735
1153	238	275
1154	289	1496
1155	238	1878
1156	238	1188
1157	216	2120
1158	154	299
1159	238	735
1160	277	2617
1161	85	1704
1162	206	1932
1163	185	947
1164	238	1313
1165	238	2753
1166	238	3234
1167	176	1998
1168	221	2964
1169	245	954
1170	238	2369
1171	238	3170
1172	234	1924
1173	234	1261
1174	286	2036
1175	238	1351
1176	176	1030
1177	159	3306
1178	295	3084
1179	238	156
1180	1	1556
1181	43	336
1182	1	1927
1183	176	986
1184	238	560
1185	92	750
1186	176	1911
1187	176	143
1188	206	321
1189	238	2380
1190	176	1288
1191	213	1899
1192	176	1664
1193	215	1281
1194	176	3163
1195	296	2395
1196	206	293
1197	176	2872
1198	206	1427
1199	176	2298
1200	206	1079
1201	287	3046
1202	286	39
1203	164	2953
1204	176	3139
1205	206	2954
1206	282	1786
1207	238	2563
1208	216	851
1209	206	435
1210	233	614
1211	45	327
1212	160	1603
1213	287	1612
1214	185	2397
1215	287	1797
1216	84	2594
1217	71	2731
1218	185	3136
1219	259	692
1220	282	765
1221	176	1723
1222	238	2436
1223	245	2632
1224	72	818
1225	152	551
1226	176	223
1227	287	1804
1228	176	2708
1229	251	165
1230	1	859
1231	251	1531
1232	37	144
1233	177	1284
1234	215	1623
1235	287	1659
1236	176	29
1237	238	1401
1238	261	2261
1239	238	3060
1240	238	103
1241	176	32
1242	176	2553
1243	259	3158
1244	176	588
1245	176	213
1246	92	462
1247	238	486
1248	287	652
1249	61	3082
1250	7	3179
1251	176	1012
1252	86	1031
1253	238	2168
1254	238	1782
1255	176	2800
1256	238	2406
1257	251	1807
1258	176	2662
1259	177	3094
1260	206	50
1261	187	458
1262	238	804
1263	34	1789
1264	238	2362
1265	176	2613
1266	167	2677
1267	251	2564
1268	206	3064
1269	112	494
1270	37	658
1271	251	2321
1272	84	2790
1273	16	277
1274	238	872
1275	206	2559
1276	212	1344
1277	99	1377
1278	238	1702
1279	206	2048
1280	291	2948
1281	206	3216
1282	238	669
1283	87	976
1284	287	983
1285	238	1153
1286	14	1918
1287	176	2234
1288	106	3239
1289	170	2694
1290	257	668
1291	176	1799
1292	73	1152
1293	2	659
1294	160	1168
1295	219	678
1296	80	948
1297	34	2783
1298	160	73
1299	206	2319
1300	238	1502
1301	112	1111
1302	238	530
1303	79	667
1304	224	806
1305	1	2842
1306	251	2673
1307	217	1416
1308	176	1713
1309	292	1953
1310	43	1981
1311	136	956
1312	2	1670
1313	92	75
1314	238	11
1315	92	1457
1316	238	2071
1317	176	1656
1318	238	2815
1319	176	1493
1320	140	911
1321	93	2281
1322	227	1673
1323	261	2643
1324	224	1658
1325	238	2769
1326	271	3260
1327	238	2985
1328	286	1155
1329	71	1037
1330	59	3103
1331	206	1886
1332	295	204
1333	206	2729
1334	238	3107
1335	238	1482
1336	251	575
1337	176	1444
1338	176	1142
1339	185	1513
1340	251	2013
1341	273	1467
1342	230	816
1343	176	2535
1344	233	2336
1345	189	1436
1346	234	1005
1347	238	3180
1348	238	2940
1349	258	1162
1350	168	980
1351	271	2310
1352	287	2904
1353	234	3274
1354	288	1728
1355	238	945
1356	295	2909
1357	215	1157
1358	176	2867
1359	238	2173
1360	176	289
1361	287	1453
1362	64	1819
1363	238	2207
1364	287	2926
1365	261	3195
1366	215	787
1367	238	2445
1368	238	432
1369	253	3264
1370	233	1508
1371	36	2834
1372	176	704
1373	238	1591
1374	176	565
1375	251	2719
1376	2	1995
1377	238	3079
1378	253	3254
1379	287	2014
1380	287	1471
1381	233	2471
1382	92	1554
1383	152	146
1384	202	1843
1385	76	95
1386	275	93
1387	238	136
1388	238	180
1389	238	197
1390	261	322
1391	238	510
1392	185	790
1393	162	1069
1394	176	1084
1395	238	1240
1396	160	1407
1397	179	1940
1398	160	2000
1399	295	2181
1400	277	2618
1401	238	2901
1402	251	3020
1403	84	3037
1404	238	912
1405	238	2373
1406	238	1422
1407	238	3257
1408	216	1555
1409	238	1671
1410	176	2006
1411	182	355
1412	251	66
1413	185	2067
1414	251	1269
1415	238	1936
1416	234	187
1417	37	1041
1418	176	2634
1419	185	3162
1420	269	752
1421	287	1710
1422	116	2813
1423	92	1328
1424	176	1302
1425	81	984
1426	287	2681
1427	271	2407
1428	238	747
1429	238	1097
1430	200	2793
1431	76	794
1432	251	2043
1433	92	2489
1434	288	224
1435	271	2121
1436	49	416
1437	206	3192
1438	139	2792
1439	234	222
1440	266	2252
1441	185	199
1442	56	1653
1443	64	1917
1444	216	3090
1445	92	3105
1446	185	1803
1447	234	950
1448	295	1461
1449	216	2879
1450	68	1851
1451	216	2111
1452	220	3244
1453	107	2278
1454	238	675
1455	178	1315
1456	238	2388
1457	238	2117
1458	161	3236
1459	238	2384
1460	185	3097
1461	187	2149
1462	206	2174
1463	160	1912
1464	212	1410
1465	64	2334
1466	106	270
1467	184	358
1468	251	591
1469	87	1790
1470	71	1921
1471	259	2780
1472	287	613
1473	238	1691
1474	176	2176
1475	176	2062
1476	238	1342
1477	259	1193
1478	238	1757
1479	212	3305
1480	238	2140
1481	108	438
1482	251	1470
1483	176	86
1484	206	1660
1485	176	1667
1486	236	1672
1487	176	2464
1488	43	2008
1489	238	2933
1490	238	569
1491	275	2787
1492	176	1834
1493	176	2772
1494	234	3242
1495	43	353
1496	2	2931
1497	92	375
1498	185	744
1499	238	1211
1500	238	1971
1501	206	2848
1502	176	632
1503	70	793
1504	238	1319
1505	238	1706
1506	100	2431
1507	86	1220
1508	176	503
1509	185	1016
1510	185	2218
1511	120	112
1512	187	1420
1513	295	1524
1514	286	2292
1515	238	339
1516	123	2704
1517	187	521
1518	176	687
1519	251	1385
1520	261	1685
1521	126	2270
1522	238	580
1523	251	873
1524	176	1341
1525	185	1370
1526	206	2004
1527	144	2020
1528	285	3284
1529	44	1476
1530	176	840
1531	61	2232
1532	247	2317
1533	185	2733
1534	47	497
1535	34	190
1536	45	1722
1537	160	1828
1538	151	2727
1539	292	2314
1540	238	3209
1541	176	2960
1542	275	2330
1543	254	3252
1544	278	483
1545	296	104
1546	297	602
1547	238	1256
1548	96	2046
1549	278	1276
1550	238	1730
1551	176	3293
1552	238	1441
1553	261	2016
1554	176	1224
1555	238	1788
1556	261	328
1557	238	1167
1558	238	1310
1559	238	106
1560	238	1277
1561	254	1136
1562	216	2197
1563	251	1877
1564	279	3199
1565	176	3031
1566	238	1849
1567	247	1503
1568	278	2187
1569	238	1937
1570	58	1115
1571	64	2538
1572	238	1666
1573	238	2219
1574	238	571
1575	185	2946
1576	251	2231
1577	261	1694
1578	238	2444
1579	238	878
1580	176	2914
1581	247	1661
1582	210	2491
1583	176	1930
1584	115	1675
1585	185	464
1586	271	2135
1587	271	2132
1588	271	2133
1589	271	2134
1590	271	1107
1591	271	1122
1592	271	1123
1593	271	1124
1594	271	1129
1595	271	1125
1596	271	1126
1597	271	1127
1598	271	1128
1599	271	1303
1600	271	1306
1601	271	1307
1602	271	1304
1603	271	1305
1604	271	2405
1605	271	1365
1606	271	577
1607	271	578
1608	271	579
1609	277	2358
1610	277	2359
1611	277	2360
1612	271	961
1613	271	959
1614	271	960
1615	45	1719
1616	45	1720
1617	45	1721
1618	195	1279
1619	195	1280
1620	115	1246
1621	29	1882
1622	176	2356
1623	217	2980
1624	292	2776
1625	291	1929
1626	210	237
1627	211	238
1628	2	2370
1629	160	1106
1630	162	38
1631	166	181
1632	171	228
1633	144	255
1634	64	2642
1635	251	748
1636	263	892
1637	238	1701
1638	57	1216
1639	247	2455
1640	251	1769
1641	277	836
1642	177	1831
1643	73	2606
1644	206	364
1645	160	1
1646	160	267
1647	144	374
1648	291	376
1649	160	382
1650	160	388
1651	107	524
1652	165	547
1653	160	657
1654	6	661
1655	160	736
1656	115	751
1657	176	814
1658	114	997
1659	119	1062
1660	159	1208
1661	144	1271
1662	200	1321
1663	107	1374
1664	107	1375
1665	160	1398
1666	165	1413
1667	110	1414
1668	214	1424
1669	106	1498
1670	106	1509
1671	92	2096
1672	167	2264
1673	176	225
1674	234	1143
1675	251	1250
1676	184	2544
1677	187	2423
1678	264	2233
1679	254	841
1680	238	991
1681	238	3069
1682	238	2941
1683	238	153
1684	176	4
1685	176	990
1686	238	2122
1687	261	1920
1688	247	414
1689	106	1590
1690	146	1600
1691	167	1628
1692	147	1678
1693	147	1747
1694	160	1944
1695	174	2031
1696	174	2110
1697	144	7
1698	239	2206
1699	150	2302
1700	122	2364
1701	144	2495
1702	144	2496
1703	175	2500
1704	152	2501
1705	116	2507
1706	33	2536
1707	160	2657
1708	152	2715
1709	173	2755
1710	160	2762
1711	101	2765
1712	193	2797
1713	126	2803
1714	146	2841
1715	106	2922
1716	238	2949
1717	24	3071
1718	261	2906
1719	277	1308
1720	206	1674
1721	176	1575
1722	183	772
1723	176	1856
1724	216	1254
1725	277	1262
1726	238	2241
1727	2	1516
1728	102	1779
1729	257	2144
1730	277	776
1731	271	1894
1732	243	2095
1733	277	724
1734	277	583
1735	144	101
1736	176	49
1737	251	949
1738	60	2734
1739	176	2591
1740	234	2595
1741	221	209
1742	238	215
1743	238	3230
1744	120	52
1745	176	3194
1746	134	839
1747	176	2171
1748	144	573
1749	149	3183
1750	144	2629
1751	172	754
1752	145	131
1753	145	132
1754	132	1715
1755	176	2707
1756	187	2383
1757	251	2804
1758	238	618
1759	195	1428
1760	195	1430
1761	176	1218
1762	176	1217
1763	160	74
1764	2	219
1765	251	1443
1766	176	2726
1767	185	326
1768	287	567
1769	229	1373
1770	229	1372
1771	277	2560
1772	115	2106
1773	115	2104
1774	195	210
1775	238	2894
1776	238	3303
1777	251	2508
1778	25	384
1779	251	742
1780	176	771
1781	43	3282
1782	187	2115
1783	133	2093
1784	192	304
1785	251	895
1786	295	2558
1787	212	987
1788	295	1118
1789	295	3040
1790	295	3043
1791	295	1874
1792	242	3280
1793	295	1845
1794	286	3073
1795	295	1465
1796	270	2861
1797	286	2805
1798	238	25
1799	143	1472
1800	238	3235
1801	176	1922
1802	23	3248
1803	57	3123
1804	176	833
1805	1	1663
1806	238	1039
1807	238	2259
1808	260	1732
1809	270	2649
1810	295	2587
1811	176	2001
1812	286	2897
1813	238	1562
1814	204	1677
1815	233	3302
1816	295	2586
1817	295	2627
1818	295	1844
1819	206	2511
1820	286	2038
1821	295	383
1822	295	1766
1823	216	2566
1824	292	723
1825	238	2690
1826	238	3263
1827	185	2640
1828	185	2903
1829	238	2050
1830	176	620
1831	187	482
1832	185	3277
1833	176	2833
1834	176	1875
1835	187	2607
1836	176	2049
1837	238	1916
1838	185	1379
1839	48	3055
1840	176	3296
1841	275	2262
1842	206	2151
1843	206	387
1844	56	3258
1845	176	2202
1846	187	36
1847	295	2645
1848	238	3190
1849	120	2162
1850	206	511
1851	286	1996
1852	216	1027
1853	238	1511
1854	238	2296
1855	238	2209
1856	92	2581
1857	33	2706
1858	238	2747
1859	63	2554
1860	277	3128
1861	215	623
1862	215	1989
1863	185	2282
1864	238	2676
1865	238	260
1866	238	1488
1867	176	1029
1868	293	2958
1869	77	2970
1870	185	2335
1871	185	2829
1872	251	913
1873	287	2242
1874	238	2652
1875	144	172
1876	176	1492
1877	176	2124
1878	251	3202
1879	200	2402
1880	176	1396
1881	176	2053
1882	245	2088
1883	238	1796
1884	238	2711
1885	176	1403
1886	64	2208
1887	238	1948
1888	284	17
1889	238	582
1890	238	918
1891	238	316
1892	277	470
1893	251	2375
1894	176	1322
1895	259	185
1896	176	2338
1897	35	2746
1898	234	717
1899	185	1727
1900	176	2220
1901	259	2669
1902	271	2919
1903	271	3135
1904	238	124
1905	234	1317
1906	206	1760
1907	216	315
1908	238	1219
1909	92	2687
1910	176	3182
1911	238	919
1912	238	3141
1913	273	1475
1914	206	1477
1915	287	1908
1916	238	746
1917	176	1326
1918	22	2578
1919	238	802
1920	292	2844
1921	1	2363
1922	238	2686
1923	212	1979
1924	176	1347
1925	238	2137
1926	185	348
1927	92	932
1928	145	2570
1929	145	499
1930	176	555
1931	238	563
1932	176	3165
1933	238	554
1934	176	2322
1935	238	1202
1936	86	1221
1937	86	1222
1938	86	1647
1939	25	1644
1940	25	1645
1941	25	1646
